3-letter ISO country code,Country name,Currency unit,Year,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),Output-side real GDP at chained PPPs (in mil. 2017US$),Population (in millions),Number of persons engaged (in millions),Average annual hours worked by persons engaged,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.","Real consumption of households and government, at current PPPs (in mil. 2017US$)","Real domestic absorption, (real consumption plus investment), at current PPPs (in mil. 2017US$)",Expenditure-side real GDP at current PPPs (in mil. 2017US$),Output-side real GDP at current PPPs (in mil. 2017US$),Capital stock at current PPPs (in mil. 2017US$),Capital services levels at current PPPs (USA=1),TFP level at current PPPs (USA=1),Welfare-relevant TFP levels at current PPPs (USA=1),Real GDP at constant 2017 national prices (in mil. 2017US$),Real consumption at constant 2017 national prices (in mil. 2017US$),Real domestic absorption at constant 2017 national prices (in mil. 2017US$),Capital stock at constant 2017 national prices (in mil. 2017US$),Capital services at constant 2017 national prices (2017=1),TFP at constant national prices (2017=1),Welfare-relevant TFP at constant national prices (2017=1),Share of labour compensation in GDP at current national prices,Real internal rate of return,Average depreciation rate of the capital stock,"Exchange rate, national currency/USD (market+estimated)","Price level of CCON (PPP/XR), price level of USA GDPo in 2017=1","Price level of CDA (PPP/XR), price level of USA GDPo in 2017=1","Price level of CGDPo (PPP/XR), price level of USA GDPo in 2017=1","0/1/2/3/4: relative price data for consumption, investment and government is extrapolated (0), benchmark (1), interpolated (2), ICP PPP timeseries: benchmark or interpolated (3) or  ICP PPP timeseries: extrapolated (4)","0/1/2: relative price data for exports and imports is extrapolated (0), benchmark (1) or interpolated (2)",0/1: the exchange rate is market-based (0) or estimated (1),0/1: the observation on pl_gdpe or pl_gdpo is not an outlier (0) or an outlier (1),"0/1/2/3: the observation for irr is not an outlier (0), may be biased due to a low capital share (1), hit the lower bound of 1 percent (2), or is an outlier (3)",Correlation between expenditure shares of the country and the US (benchmark observations only),"Statistical capacity indicator (source: World Bank, developing countries only)",Share of household consumption at current PPPs,Share of gross capital formation at current PPPs,Share of government consumption at current PPPs,Share of merchandise exports at current PPPs,Share of merchandise imports at current PPPs,Share of residual trade and GDP statistical discrepancy at current PPPs,"Price level of household consumption,  price level of USA GDPo in 2017=1","Price level of capital formation,  price level of USA GDPo in 2017=1","Price level of government consumption,  price level of USA GDPo in 2017=1","Price level of exports, price level of USA GDPo in 2017=1","Price level of imports, price level of USA GDPo in 2017=1","Price level of the capital stock, price level of USA in 2017=1","Price level of the capital services, price level of USA=1",Labour_hours,gdp_per_capita_column,log A (Total Factor Productivity),log A' (Total Factor Productivity),log Labour Productivity,k (K/L),k tilde(K/AL)
ARG,Argentina,Argentine Peso,1978-01-01,112721.625,117131.96875,27.061047,9.63172721862793,1980.2608532988565,2.223318338394165,83519.484375,101008.6953125,106909.109375,113830.640625,251840.140625,0.00761908944696188,0.6338409185409546,0.5567563772201538,460762.96875,292368.1875,361398.0625,1522499.5,0.42717444896698,1.036466121673584,0.808460533618927,0.4410236179828644,0.13901902735233307,0.0326230525970459,1.2057409119778062e-08,0.5358125567436218,0.5963136553764343,0.5600544810295105,,,,,,,,0.6521140336990356,0.1536424160003662,0.0816030502319336,0.14701563119888306,-0.06304460763931274,0.02866945043206215,0.5197698473930359,0.8852355480194092,0.6640146374702454,0.252164751291275,0.35242825746536255,0.7360653281211853,5.265793800354004,19073.332360701967,24.15744454279736,1.8706473382719615,1.0716465113857325,10.77557645433855,79.82346614673926,12.294723479671612
ARG,Argentina,Argentine Peso,1979-01-01,123069.515625,124635.40625,27.471035999999998,9.799654960632324,1977.127948417083,2.236643075942993,95338.90625,114608.5546875,116784.6640625,121296.609375,264545.25,0.007704155519604683,0.6572784185409546,0.6183256506919861,493095.28125,332732.46875,408091.78125,1583735.75,0.44531726837158203,1.073393702507019,0.883449137210846,0.4410236179828644,0.15143409371376038,0.03249908611178398,2.8315798413953848e-08,0.5826795101165771,0.6329283714294434,0.6093850135803223,,,,,,,,0.7061920762062073,0.15886390209197998,0.07980603724718094,0.1352330595254898,-0.09171050786972046,0.011615438386797905,0.5660701394081116,0.8815407752990723,0.7296536564826965,0.22138085961341858,0.27980750799179077,0.7679761648178101,5.408966064453125,19375.17170751028,25.449853487433327,1.9156451971692892,1.1106690821778398,10.826110525648538,81.74047558949407,12.036023355908684
ARG,Argentina,Argentine Peso,1980-01-01,130205.015625,125315.265625,27.896528,9.828572273254395,1974.0,2.2500476837158203,103684.328125,124873.546875,124514.4609375,122182.0703125,277379.25,0.007653829641640186,0.6509801149368286,0.6698194146156311,500260.78125,358104.3125,440656.25,1648042.5,0.4653550386428833,1.0590935945510864,0.9277549982070923,0.4410236179828644,0.15192392468452454,0.03262512385845184,5.089013057944164e-08,0.608356773853302,0.6566657423973083,0.669201135635376,,,,,,0.5509004252846491,,0.7678291201591492,0.17342332005500793,0.08077596873044968,0.12086273729801178,-0.15113627910614014,0.008245092816650867,0.5768439173698425,0.8930540680885315,0.9079075455665588,0.19604124128818512,0.20605000853538513,0.8152234554290771,5.563361167907715,19401.601667404175,25.784509435139437,1.9171775392783972,1.106226130524045,10.83759112211232,84.94363136878579,12.488526425794863
ARG,Argentina,Argentine Peso,1981-01-01,129140.6953125,126380.7265625,28.338514999999997,9.851314544677734,1961.2300566642687,2.2831640243530273,104105.7734375,123043.5546875,123623.515625,123073.5859375,288231.96875,0.007770658936351538,0.637012779712677,0.6387921571731567,473161.90625,345719.03125,413696.375,1690979.5,0.4764370024204254,0.984093189239502,0.8556647896766663,0.4410236179828644,0.1373175084590912,0.032590582966804504,9.568491190733998e-08,0.6403748989105225,0.6847633123397827,0.6878229975700378,,,,,,,,0.7637173533439636,0.15387362241744995,0.08216499537229538,0.12709613144397736,-0.13311415910720825,0.006262009032070637,0.6089782118797302,0.9287773370742798,0.9322049021720886,0.26889532804489136,0.2648545205593109,0.8820024132728577,4.921849250793457,19320.69418267585,24.489901955710618,1.8566949274437485,1.0311327165053477,10.779588002823656,87.52167411853343,13.669834439834359
ARG,Argentina,Argentine Peso,1982-01-01,129296.8203125,132655.0625,28.794548,10.007144927978516,1948.5427229804106,2.316767930984497,103720.6171875,119859.59375,124120.828125,129375.3046875,300059.46875,0.007919618859887123,0.660266101360321,0.6098670363426208,458204.09375,330485.75,381166.28125,1712746.0,0.4789413511753082,0.9402672648429871,0.7778615355491638,0.4410236179828644,0.10800021886825562,0.032097961753606796,2.72065727375639e-07,0.6431876420974731,0.7012640237808228,0.6727827191352844,,,,,,,,0.7234376668930054,0.12474542111158371,0.0782657191157341,0.1545359045267105,-0.09028881788253784,0.00930409599095583,0.6124729514122009,1.0745041370391846,0.9270946383476257,0.36329638957977295,0.43531912565231323,1.057546615600586,4.793875694274902,19499.349427222864,23.49842980455058,1.8142919699456868,0.9741188887760733,10.73177065271547,87.83605865377493,14.31317064060885
ARG,Argentina,Argentine Peso,1983-01-01,141275.328125,143819.578125,29.262047,10.316276550292969,1935.9374645408404,2.3508665561676025,113219.234375,130154.015625,135743.15625,140820.125,315382.40625,0.008236225694417953,0.6752154231071472,0.6145778298377991,477047.0625,345168.6875,394907.5,1735655.625,0.4827014207839966,0.9582361578941345,0.7888641357421875,0.4410236179828644,0.11364433914422989,0.03143898397684097,1.2601208840241402e-06,0.6384316682815552,0.6937390565872192,0.6687277555465698,,,,,,,,0.7260904312133789,0.12025823444128036,0.07790855318307877,0.1217188835144043,-0.057584404945373535,0.01160833053290844,0.6083510518074036,1.063502311706543,0.91877681016922,0.3820229172706604,0.46414920687675476,1.0557931661605835,4.439486026763916,19971.666268276298,23.886192373330335,1.8338527909266216,0.97906878343577,10.741647532966125,86.90589967232613,13.887277446749545
ARG,Argentina,Argentine Peso,1984-01-01,150891.609375,153307.53125,29.737092999999998,10.556924819946289,1923.4137503950928,2.3854668140411377,122316.03125,139401.5625,144504.6875,149841.140625,336801.46875,0.008460257202386856,0.67042076587677,0.605379045009613,486614.21875,358864.3125,404145.15625,1755388.0,0.4867602288722992,0.9596025943756104,0.7925733923912048,0.4410236179828644,0.11330624669790268,0.030939951539039612,8.612225551920807e-06,0.6361852884292603,0.6887282133102417,0.6641998291015625,,,,,,,,0.7335120439529419,0.11402434855699539,0.0827927216887474,0.12430916726589203,-0.06214946135878563,0.007511161267757416,0.6085526943206787,1.064885139465332,0.8809993267059326,0.341896116733551,0.38671064376831055,1.0550227165222168,4.091469764709473,20305.33436057193,23.964846385139445,1.8387195527715052,0.9693247184259434,10.738444903881236,86.44959835818024,13.747294119031416
ARG,Argentina,Argentine Peso,1985-01-01,144763.0,149748.6875,30.216279,10.633323669433594,1910.9710530274576,2.420576333999634,114996.3671875,130661.2109375,138947.890625,146998.0625,363683.5,0.00880026537925005,0.6228618621826172,0.5354024171829224,452764.90625,323896.4375,361542.71875,1764064.25,0.4874177575111389,0.8861661553382874,0.7037160992622375,0.4410236179828644,0.11007918417453766,0.030510442331433296,6.01809e-05,0.6473798155784607,0.6875233054161072,0.649871826171875,,,,,,,,0.6842277646064758,0.1065649688243866,0.09807075560092926,0.16696697473526,-0.06750684976577759,0.011676416732370853,0.6301026344299316,0.9822180867195129,0.7679206132888794,0.3420814275741577,0.3843594491481781,0.9674111008644104,3.516378164291382,20319.973729759306,22.28176631876793,1.7646372914609252,0.8806316251013192,10.65913548671111,86.81429776734734,14.866852012108325
ARG,Argentina,Argentine Peso,1986-01-01,164806.421875,166668.46875,30.698964,10.947461128234863,1898.6088483347608,2.4418883323669434,136340.5625,154785.953125,158398.109375,161987.15625,400195.21875,0.009339605458080769,0.6369045972824097,0.5884677767753601,485108.6875,362563.53125,404150.15625,1781084.125,0.4901619255542755,0.9334824681282043,0.7734020948410034,0.4410236179828644,0.12682755291461945,0.030010929331183434,9.430316666666667e-05,0.6877824664115906,0.724344789981842,0.7082959413528442,,,,,,,,0.7541661262512207,0.11386943608522415,0.08750900626182556,0.10982807725667953,-0.06962329149246216,0.00425065029412508,0.6617123484611511,0.9945975542068481,0.9124590158462524,0.38515591621398926,0.4188169538974762,0.9541530609130859,3.822542905807495,20784.946564867554,23.33942432741064,1.8149194074119168,0.9221477607104228,10.699020673808022,85.6910610494682,13.954877763429016
ARG,Argentina,Argentine Peso,1987-01-01,177125.890625,177435.28125,31.184414999999998,11.175552368164062,1886.326615604288,2.463388204574585,146228.578125,168558.984375,170130.078125,171734.171875,450024.75,0.00997447595000267,0.6309917569160461,0.6009441018104553,497395.5,369889.96875,419589.53125,1808361.75,0.4964507818222046,0.9407810568809509,0.7892358899116516,0.4410236179828644,0.12686429917812347,0.0295347198843956,0.00021442983333333333,0.6545599102973938,0.6931127905845642,0.6866388320922852,,,,,,,,0.7616657018661499,0.1300288736820221,0.08981645852327347,0.08684319257736206,-0.07298966497182846,0.0046354616060853004,0.6314060688018799,0.9455727934837341,0.8509100079536438,0.4264569580554962,0.4641321897506714,0.8787689208984375,3.5441956520080566,21080.741876147404,23.594781574684372,1.8254805616192478,0.9239428403759101,10.703412195069337,85.78264278479396,13.823031162354926
